FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/sklearn/tests/test_check_build.py;10;2;5;1;0;0.0;0.0;0;0;2;7;0
./scikit-learn/sklearn/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/tests/metadata_routing_common.py;409;24;111;54;13;3.2;3.85;0;0;32;13;0
./scikit-learn/sklearn/tests/test_metaestimators.py;263;20;44;17;2;1.82;5.5;1;0;29;13;1
./scikit-learn/sklearn/tests/test_config.py;154;8;45;10;0;0.7;0.0;2;1;21;10;0
./scikit-learn/sklearn/tests/test_public_functions.py;369;11;34;4;0;2.25;0.0;1;1;19;11;0
./scikit-learn/sklearn/tests/test_random_projection.py;479;47;105;25;0;1.6;0.0;0;0;31;12;0
./scikit-learn/sklearn/tests/test_base.py;684;71;237;79;30;1.06;1.3;0;0;39;11;0
./scikit-learn/sklearn/tests/test_pipeline.py;1678;171;404;118;15;1.25;2.8;2;2;74;14;0
./scikit-learn/sklearn/tests/test_docstrings.py;165;34;43;6;0;1.83;0.0;4;1;34;11;0
./scikit-learn/sklearn/tests/test_kernel_approximation.py;386;49;103;25;0;0.84;0.0;0;0;11;10;0
./scikit-learn/sklearn/tests/test_common.py;532;36;94;30;1;0.87;1.0;0;1;60;14;0
./scikit-learn/sklearn/tests/test_isotonic.py;543;70;159;40;0;0.1;0.0;0;0;24;11;0
./scikit-learn/sklearn/tests/test_min_dependencies_readme.py;106;10;31;3;0;1.67;0.0;1;0;20;10;0
./scikit-learn/sklearn/tests/test_naive_bayes.py;789;141;184;36;0;0.83;0.0;0;0;45;10;0
./scikit-learn/sklearn/tests/test_multioutput.py;694;75;173;44;3;0.75;1.0;0;0;32;10;0
./scikit-learn/sklearn/tests/test_docstring_parameters.py;288;47;45;6;0;1.0;0.0;3;1;67;13;0
./scikit-learn/sklearn/tests/test_init.py;13;5;7;1;0;0.0;0.0;0;1;2;5;0
./scikit-learn/sklearn/tests/test_kernel_ridge.py;62;3;18;7;0;0.14;0.0;0;0;2;11;0
./scikit-learn/sklearn/tests/test_calibration.py;886;124;215;50;5;1.66;1.2;0;0;32;12;0
./scikit-learn/sklearn/tests/test_metaestimators_metadata_routing.py;764;41;62;13;0;1.0;0.0;3;4;55;13;0
./scikit-learn/sklearn/tests/test_metadata_routing.py;913;116;198;75;21;1.76;1.81;0;0;34;15;0
./scikit-learn/sklearn/tests/test_multiclass.py;762;109;186;44;0;0.18;0.0;0;0;33;10;0
./scikit-learn/sklearn/tests/test_build.py;25;3;9;1;0;0.0;0.0;0;0;3;8;0
./scikit-learn/sklearn/tests/random_seed.py;67;5;18;4;2;1.5;1.0;1;0;13;13;0
./scikit-learn/sklearn/model_selection/__init__.py;88;4;6;1;0;1.0;0.0;2;0;3;8;1
./scikit-learn/sklearn/model_selection/_search_successive_halving.py;891;40;188;14;4;2.21;3.25;7;0;29;12;0
./scikit-learn/sklearn/model_selection/_plot.py;736;6;138;7;3;2.29;2.33;2;0;19;13;0
./scikit-learn/sklearn/model_selection/_classification_threshold.py;837;10;166;25;4;2.32;5.0;5;1;26;15;0
./scikit-learn/sklearn/model_selection/_split.py;2411;94;503;68;22;3.04;2.82;41;0;160;13;1
./scikit-learn/sklearn/model_selection/_search.py;1595;65;339;39;5;2.0;6.8;18;2;103;16;0
./scikit-learn/sklearn/model_selection/_validation.py;1989;79;360;20;0;3.65;0.0;17;4;140;14;0
./scikit-learn/sklearn/model_selection/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/model_selection/tests/test_successive_halving.py;734;109;122;27;3;2.7;2.67;2;0;32;11;0
./scikit-learn/sklearn/model_selection/tests/common.py;17;0;7;3;1;3.67;3.0;0;0;2;10;0
./scikit-learn/sklearn/model_selection/tests/test_plot.py;474;1;98;13;1;3.69;0.0;0;0;16;12;0
./scikit-learn/sklearn/model_selection/tests/test_search.py;2185;223;458;136;13;1.14;2.38;2;1;119;13;0
./scikit-learn/sklearn/model_selection/tests/test_classification_threshold.py;590;41;94;22;0;0.91;0.0;0;0;13;10;0
./scikit-learn/sklearn/model_selection/tests/test_split.py;1694;231;362;79;1;0.81;2.0;0;3;132;12;1
./scikit-learn/sklearn/model_selection/tests/test_validation.py;2240;185;387;114;8;1.32;3.25;11;4;151;12;0
./scikit-learn/sklearn/semi_supervised/__init__.py;9;0;2;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/semi_supervised/_label_propagation.py;515;21;108;11;3;2.0;3.67;1;0;19;13;0
./scikit-learn/sklearn/semi_supervised/_self_training.py;343;14;74;9;1;2.56;7.0;1;0;18;12;0
./scikit-learn/sklearn/semi_supervised/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/semi_supervised/tests/test_label_propagation.py;195;12;43;12;0;2.42;0.0;0;0;7;11;0
./scikit-learn/sklearn/semi_supervised/tests/test_self_training.py;269;42;76;16;0;0.5;0.0;0;0;12;9;0
./scikit-learn/sklearn/mixture/__init__.py;6;0;2;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/mixture/_gaussian_mixture.py;727;20;185;29;1;2.69;13.0;7;2;47;14;0
./scikit-learn/sklearn/mixture/_base.py;465;12;100;23;1;2.7;22.0;3;0;34;14;0
./scikit-learn/sklearn/mixture/_bayesian_mixture.py;729;33;160;22;1;2.45;20.0;1;0;17;14;0
./scikit-learn/sklearn/mixture/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/mixture/tests/test_bayesian_mixture.py;392;39;74;14;0;0.21;0.0;0;0;22;16;0
./scikit-learn/sklearn/mixture/tests/test_mixture.py;23;3;7;2;0;1.0;0.0;0;0;2;7;0
./scikit-learn/sklearn/mixture/tests/test_gaussian_mixture.py;1213;95;209;44;1;0.77;1.0;0;0;73;15;0
./scikit-learn/sklearn/decomposition/_fastica.py;642;29;153;17;1;2.65;8.0;2;0;40;12;1
./scikit-learn/sklearn/decomposition/_nmf.py;1942;118;489;35;3;4.29;7.33;11;0;171;15;1
./scikit-learn/sklearn/decomposition/__init__.py;49;0;2;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/decomposition/_kernel_pca.py;478;35;96;10;1;2.2;10.0;3;0;23;12;1
./scikit-learn/sklearn/decomposition/_pca.py;715;111;140;11;1;2.73;9.0;8;0;51;12;1
./scikit-learn/sklearn/decomposition/_dict_learning.py;1891;60;419;33;4;2.73;6.25;2;0;92;14;1
./scikit-learn/sklearn/decomposition/_lda.py;754;38;174;17;1;3.29;15.0;3;0;42;13;1
./scikit-learn/sklearn/decomposition/_sparse_pca.py;447;3;105;10;3;2.3;3.33;0;0;4;9;1
./scikit-learn/sklearn/decomposition/_base.py;166;18;37;7;1;2.0;7.0;0;0;9;11;1
./scikit-learn/sklearn/decomposition/_truncated_svd.py;264;11;57;7;1;2.0;7.0;1;0;10;13;1
./scikit-learn/sklearn/decomposition/_incremental_pca.py;341;9;68;4;1;2.75;4.0;4;0;23;12;0
./scikit-learn/sklearn/decomposition/_factor_analysis.py;369;15;89;12;1;2.08;9.0;1;0;16;12;0
./scikit-learn/sklearn/decomposition/tests/test_factor_analysis.py;96;21;20;2;0;1.0;0.0;0;0;8;10;0
./scikit-learn/sklearn/decomposition/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/decomposition/tests/test_sparse_pca.py;304;28;67;20;0;0.8;0.0;0;0;6;10;1
./scikit-learn/sklearn/decomposition/tests/test_online_lda.py;406;34;71;25;0;1.32;0.0;0;0;15;10;0
./scikit-learn/sklearn/decomposition/tests/test_dict_learning.py;839;59;144;50;0;0.84;0.0;0;0;28;11;0
./scikit-learn/sklearn/decomposition/tests/test_kernel_pca.py;451;62;115;24;0;0.33;0.0;0;0;22;14;0
./scikit-learn/sklearn/decomposition/tests/test_pca.py;959;126;187;48;0;1.6;0.0;0;0;31;11;1
./scikit-learn/sklearn/decomposition/tests/test_nmf.py;903;89;160;42;0;1.19;0.0;0;0;51;13;1
./scikit-learn/sklearn/decomposition/tests/test_fastica.py;377;57;75;16;0;1.38;0.0;0;0;36;11;1
./scikit-learn/sklearn/decomposition/tests/test_truncated_svd.py;163;15;49;13;0;2.08;0.0;0;0;7;9;0
./scikit-learn/sklearn/decomposition/tests/test_incremental_pca.py;377;59;89;21;0;0.1;0.0;0;0;21;9;1
./scikit-learn/sklearn/datasets/__init__.py;148;1;17;1;0;1.0;0.0;2;1;3;7;1
./scikit-learn/sklearn/datasets/_openml.py;981;55;175;22;1;2.86;0.0;21;8;81;13;0
./scikit-learn/sklearn/datasets/_kddcup99.py;354;9;72;3;0;2.0;0.0;3;2;20;12;0
./scikit-learn/sklearn/datasets/_lfw.py;536;49;108;6;0;3.17;0.0;7;2;37;12;1
./scikit-learn/sklearn/datasets/_base.py;1221;9;262;18;0;1.0;0.0;4;2;49;13;0
./scikit-learn/sklearn/datasets/_twenty_newsgroups.py;515;12;110;6;0;1.17;0.0;2;2;30;11;0
./scikit-learn/sklearn/datasets/_species_distributions.py;240;16;59;4;0;1.25;0.0;1;0;11;12;0
./scikit-learn/sklearn/datasets/_covtype.py;210;10;43;1;0;0.0;0.0;1;1;14;10;0
./scikit-learn/sklearn/datasets/_california_housing.py;196;10;52;1;0;0.0;0.0;1;0;7;9;1
./scikit-learn/sklearn/datasets/_svmlight_format_io.py;507;23;95;7;0;2.86;0.0;9;0;60;12;1
./scikit-learn/sklearn/datasets/_olivetti_faces.py;149;8;35;1;0;0.0;0.0;1;0;6;9;0
./scikit-learn/sklearn/datasets/_arff_parser.py;455;46;85;8;0;3.62;0.0;5;1;40;16;1
./scikit-learn/sklearn/datasets/_rcv1.py;278;24;56;3;0;1.0;0.0;1;0;26;11;0
./scikit-learn/sklearn/datasets/_samples_generator.py;1918;60;440;23;0;1.43;0.0;10;1;78;13;1
./scikit-learn/sklearn/datasets/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/test_base.py;320;19;73;27;1;1.44;2.0;0;2;18;13;0
./scikit-learn/sklearn/datasets/tests/test_olivetti_faces.py;19;1;7;1;0;1.0;0.0;0;0;2;8;0
./scikit-learn/sklearn/datasets/tests/test_svmlight_format.py;494;51;122;31;0;0.42;0.0;0;0;37;12;0
./scikit-learn/sklearn/datasets/tests/test_california_housing.py;28;3;10;3;0;1.33;0.0;0;0;2;7;1
./scikit-learn/sklearn/datasets/tests/test_samples_generator.py;584;15;122;33;0;0.27;0.0;0;0;37;17;1
./scikit-learn/sklearn/datasets/tests/test_rcv1.py;55;9;16;1;0;2.0;0.0;0;0;3;10;0
./scikit-learn/sklearn/datasets/tests/test_covtype.py;38;2;17;3;0;1.67;0.0;0;0;2;9;1
./scikit-learn/sklearn/datasets/tests/test_20news.py;114;16;29;7;0;1.14;0.0;0;0;11;10;1
./scikit-learn/sklearn/datasets/tests/test_common.py;108;6;28;9;0;1.67;0.0;0;2;16;12;1
./scikit-learn/sklearn/datasets/tests/test_kddcup99.py;70;0;19;6;0;2.0;0.0;0;0;4;8;0
./scikit-learn/sklearn/datasets/tests/test_lfw.py;184;21;45;8;0;1.0;0.0;0;0;9;11;0
./scikit-learn/sklearn/datasets/tests/test_arff_parser.py;251;4;33;5;0;1.0;0.0;0;0;6;9;1
./scikit-learn/sklearn/datasets/tests/test_openml.py;1454;104;204;61;1;2.28;7.0;8;1;61;27;1
./scikit-learn/sklearn/datasets/tests/data/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_1/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_40945/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_42585/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_561/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_1590/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_62/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_292/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_40589/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_1119/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_40966/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_3/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_61/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_40675/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/tests/data/openml/id_42074/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
