,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
554,./scikit-learn/sklearn/utils/tests/test_typedefs.py,22,0,3,1,0,3.0,0.0,0,0,1,8,0
555,./scikit-learn/sklearn/utils/tests/test_encode.py,226,11,48,10,0,1.7,0.0,0,0,8,12,0
556,./scikit-learn/sklearn/utils/tests/test_user_interface.py,56,0,9,2,0,4.5,0.0,0,0,4,8,0
557,./scikit-learn/sklearn/utils/tests/test_arrayfuncs.py,29,6,11,3,0,1.0,0.0,0,0,1,9,0
558,./scikit-learn/sklearn/utils/tests/test_optimize.py,140,14,18,6,0,1.17,0.0,0,0,14,13,0
559,./scikit-learn/sklearn/utils/tests/test_stats.py,74,6,24,7,0,0.0,0.0,0,0,1,9,0
561,./scikit-learn/sklearn/utils/tests/test_weight_vector.py,20,0,5,1,0,2.0,0.0,0,0,1,9,0
564,./scikit-learn/sklearn/utils/tests/test_murmurhash.py,51,3,23,6,0,0.0,0.0,0,0,5,9,0
565,./scikit-learn/sklearn/utils/tests/test_cython_blas.py,170,0,64,14,0,1.71,0.0,0,0,10,10,0
566,./scikit-learn/sklearn/utils/tests/test_mocking.py,163,4,42,13,0,1.62,0.0,0,0,11,9,0
567,./scikit-learn/sklearn/utils/tests/test_class_weight.py,261,51,55,13,0,0.69,0.0,0,0,5,10,0
568,./scikit-learn/sklearn/utils/tests/test_shortest_path.py,44,8,21,3,0,1.0,0.0,0,0,9,11,0
569,./scikit-learn/sklearn/utils/tests/test_arpack.py,12,2,4,1,0,1.0,0.0,0,0,1,7,0
576,./scikit-learn/sklearn/utils/tests/test_chunking.py,61,1,12,3,0,1.33,0.0,0,0,7,10,0
577,./scikit-learn/sklearn/utils/tests/test_response.py,329,10,42,13,0,1.46,0.0,0,0,19,10,0
583,./scikit-learn/sklearn/_build_utils/version.py,8,1,5,0,0,0.0,0.0,0,0,1,12,1
585,./scikit-learn/sklearn/feature_selection/__init__.py,45,0,2,0,0,0.0,0.0,0,0,1,3,1
592,./scikit-learn/sklearn/feature_selection/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
593,./scikit-learn/sklearn/feature_selection/tests/test_sequential.py,257,17,66,14,0,1.0,0.0,0,0,7,11,0
594,./scikit-learn/sklearn/feature_selection/tests/test_mutual_info.py,213,39,57,11,0,1.27,0.0,0,0,12,13,0
600,./scikit-learn/sklearn/feature_selection/tests/test_variance_threshold.py,58,9,14,5,0,0.8,0.0,0,0,8,8,0
601,./scikit-learn/sklearn/neural_network/__init__.py,8,1,3,0,0,0.0,0.0,0,0,1,3,1
604,./scikit-learn/sklearn/neural_network/_base.py,175,4,60,12,0,1.58,0.0,0,0,3,11,0
606,./scikit-learn/sklearn/neural_network/tests/test_rbm.py,199,24,52,14,0,0.57,0.0,0,0,6,10,0
607,./scikit-learn/sklearn/neural_network/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
608,./scikit-learn/sklearn/neural_network/tests/test_base.py,23,2,6,2,0,1.0,0.0,0,0,1,9,0
610,./scikit-learn/sklearn/neural_network/tests/test_stochastic_optimizers.py,89,0,23,6,0,0.0,0.0,0,0,11,11,0
611,./scikit-learn/.github/scripts/label_title_regex.py,17,0,8,0,0,0.0,0.0,0,0,2,7,1
922,./scikit-learn/asv_benchmarks/benchmarks/__init__.py,1,0,0,0,0,0.0,0.0,0,0,1,2,1
926,./scikit-learn/asv_benchmarks/benchmarks/datasets.py,135,2,33,10,0,2.8,0.0,0,0,2,11,1
929,./scikit-learn/asv_benchmarks/benchmarks/utils.py,32,0,15,7,0,1.71,0.0,0,0,1,13,1
938,./scikit-learn/build_tools/github/check_wheels.py,27,2,10,0,0,0.0,0.0,0,0,4,8,1
940,./scikit-learn/build_tools/azure/get_selected_tests.py,25,2,9,1,0,0.0,0.0,0,0,4,10,1
941,./scikit-learn/build_tools/azure/get_commit_message.py,55,16,10,2,0,0.0,0.0,0,0,4,10,1
