,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
26,./scikit-learn/benchmarks/bench_tree.py,96,6,27,2,0,2.0,0.0,0,0,4,8,1
27,./scikit-learn/benchmarks/bench_feature_expansions.py,51,4,7,0,0,0.0,0.0,0,0,5,10,1
28,./scikit-learn/benchmarks/bench_hist_gradient_boosting_higgsboson.py,106,0,21,3,0,2.33,0.0,0,0,9,10,1
30,./scikit-learn/benchmarks/bench_lasso.py,78,2,21,1,0,4.0,0.0,0,0,4,11,1
31,./scikit-learn/benchmarks/bench_sgd_regression.py,129,4,22,0,0,0.0,0.0,0,0,5,10,1
32,./scikit-learn/benchmarks/bench_online_ocsvm.py,236,15,58,3,0,1.67,0.0,0,0,13,10,1
34,./scikit-learn/benchmarks/bench_hist_gradient_boosting_adult.py,84,3,16,2,0,3.5,0.0,0,0,3,8,1
35,./scikit-learn/benchmarks/bench_plot_svd.py,63,4,17,1,0,4.0,0.0,0,0,5,10,1
36,./scikit-learn/benchmarks/bench_glmnet.py,110,6,30,2,0,4.0,0.0,0,0,4,13,1
37,./scikit-learn/benchmarks/bench_kernel_pca_solvers_time_vs_n_components.py,151,25,28,0,0,0.0,0.0,0,0,8,11,1
38,./scikit-learn/benchmarks/plot_tsne_mnist.py,27,0,6,0,0,0.0,0.0,0,0,3,8,1
39,./scikit-learn/benchmarks/bench_plot_hierarchical.py,59,0,18,1,0,2.0,0.0,0,0,9,11,1
42,./scikit-learn/benchmarks/bench_plot_lasso_path.py,92,8,21,1,0,2.0,0.0,0,0,5,9,1
44,./scikit-learn/benchmarks/bench_plot_polynomial_kernel_approximation.py,146,20,30,0,0,0.0,0.0,0,0,7,10,1
48,./scikit-learn/sklearn/_min_dependencies.py,58,8,9,0,0,0.0,0.0,0,0,4,8,1
51,./scikit-learn/sklearn/_distributor_init.py,7,0,3,0,0,0.0,0.0,0,0,1,2,1
61,./scikit-learn/sklearn/_config.py,296,2,77,4,0,2.5,0.0,0,0,13,8,1
68,./scikit-learn/sklearn/impute/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
